date,Lagged_Return_1d,High_Low_Range,Range_Change,Volatility_5d,Volatility_20d,Volume,Volume_Change,Volume_MA5,Volume_MA20,Low,High
6/22/2022,-0.010774461,0.197420151,0.028203528,0.041192946,0.056855398,189300,-0.460683761,267280,234605,13.44336995,13.64079011
6/23/2022,-0.01225314,0.188018963,-0.009401189,0.029279039,0.056652542,270400,0.428420497,266340,235890,13.63138781,13.81940677
6/24/2022,0.013094305,0.169217527,-0.018801436,0.028975634,0.056083162,175700,-0.350221893,220760,228485,13.77240276,13.94162029
6/27/2022,0.008843615,0.18801898,0.018801453,0.012612765,0.052606044,292100,0.662492886,255700,229095,13.91341796,14.10143694
6/28/2022,0.011463277,0.216221589,0.028202609,0.017077459,0.045537116,109800,-0.624101335,207460,227115,13.87581331,14.0920349
6/29/2022,-0.000666744,0.169217525,-0.047004064,0.019265924,0.045301569,115100,0.048269581,192620,217005,13.79120499,13.96042251
6/30/2022,-0.009339488,0.169217532,7.04E-09,0.020596136,0.045301569,238700,1.073848827,186280,220945,13.48097402,13.65019155
7/1/2022,-0.022222176,0.150415187,-0.018802345,0.024872398,0.042141888,325200,0.362379556,216180,225925,13.48097413,13.63138932
7/5/2022,-0.001377433,0.26322655,0.112811363,0.045862601,0.045913521,986600,2.033825338,355080,266530,13.16134003,13.42456658
7/6/2022,-0.015172536,0.197420135,-0.065806415,0.044294229,0.046103084,375900,-0.618994527,408300,278015,12.93571717,13.1331373
7/7/2022,-0.021708655,0.084608758,-0.112811377,0.065334836,0.047044325,219900,-0.41500399,429260,280395,13.23654759,13.32115635
7/8/2022,0.014316385,0.225622768,0.14101401,0.069274139,0.044772174,203000,-0.076853115,422120,279400,13.24594942,13.47157219
7/11/2022,0.0112915,0.112811381,-0.112811387,0.075617707,0.04659723,95800,-0.528078818,376240,277255,13.31175548,13.42456686
7/12/2022,-0.003489224,0.112811391,1.00E-08,0.061142301,0.048922491,112600,0.175365344,201440,272035,13.4057666,13.51857799
7/13/2022,0.007002918,0.159816352,0.047004961,0.055377858,0.043933158,209900,0.864120782,168240,259120,13.31175587,13.47157222
7/14/2022,-0.003477124,0.084608767,-0.075207584,0.055377856,0.048271599,204700,-0.024773702,165200,263590,13.39636543,13.4809742
7/15/2022,0.000697913,0.159815456,0.075206689,0.032970215,0.045778959,179200,-0.124572545,160440,258795,13.4151671,13.57498255
7/18/2022,0.00697341,0.15981635,8.94E-07,0.034922851,0.045697604,316200,0.764508929,204520,254425,13.39636451,13.55618086
7/19/2022,-0.001385025,0.094009938,-0.065806412,0.038760885,0.047487093,78800,-0.750790639,197760,252495,13.55618137,13.65019131
7/20/2022,0.006934877,0.08460876,-0.009401178,0.039662369,0.050623294,177600,1.253807107,191300,243825,13.67839319,13.76300195
7/21/2022,0.0082644,0.112811387,0.028202627,0.035797481,0.050809019,74500,-0.580518018,165260,238085,13.70659649,13.81940788
7/22/2022,0.004098374,0.131612825,0.018801438,0.030170921,0.050450735,135000,0.812080537,156420,231315,13.60318509,13.73479792
7/25/2022,-0.006122546,0.084608763,-0.047004062,0.020380469,0.052464252,98100,-0.273333333,112800,227435,13.65959126,13.74420002
7/26/2022,0.000684546,0.131613738,0.047004975,0.023596078,0.051714146,133400,0.359836901,123720,219500,13.47157302,13.60318676
7/27/2022,-0.010259838,0.206821314,0.075207576,0.045281083,0.051073862,56700,-0.574962519,99540,216845,13.54677946,13.75360078
7/28/2022,0.011057263,0.169216632,-0.037604682,0.045862774,0.05107384,134900,1.379188713,111620,217835,13.76300263,13.93221927
7/29/2022,0.012987035,0.103410206,-0.065806425,0.049477981,0.051533966,107000,-0.206819867,106020,211250,13.76300166,13.86641186
8/1/2022,-0.004723397,0.188018968,0.084608762,0.042042419,0.052552857,503300,3.703738318,187060,220155,13.95102088,14.13903984
8/2/2022,0.019661033,0.112811384,-0.075207584,0.045862913,0.044668136,147000,-0.707927677,189780,178175,14.12023884,14.23305023
8/3/2022,0.006648993,0.169216631,0.056405247,0.037838034,0.043037274,183300,0.246938776,215100,168545,14.1484417,14.31765833
8/4/2022,0.005944482,0.150416074,-0.018800557,0.036166195,0.041516217,304600,0.661756683,249040,172780,14.20484653,14.35526261
